category,capacity,ticket_price,days_remaining,current_fill_rate,booking_velocity_24h,actual_additional_demand,demand_level,capacity_risk
Show,200,1500,11,0.57,15,108,CRITICAL,CRITICAL
Show,2000,500,23,0.54,19,218,MEDIUM,MEDIUM
Sports,1500,500,1,0.75,6,3,HIGH,HIGH
Cultural,800,1000,13,0.82,14,109,HIGH,HIGH
Sports,500,250,8,0.44,31,146,MEDIUM,MEDIUM
Cultural,500,1500,16,0.23,26,287,MEDIUM,MEDIUM
Technology,2000,2000,25,0.36,43,639,MEDIUM,MEDIUM
Workshop,500,500,1,0.35,20,12,LOW,LOW
Workshop,500,1000,28,0.61,27,379,CRITICAL,CRITICAL
Show,200,0,29,0.54,57,823,CRITICAL,CRITICAL
Workshop,100,1500,4,0.1,33,76,MEDIUM,MEDIUM
Technology,100,1000,7,0.42,60,216,CRITICAL,CRITICAL
Cultural,100,300,23,0.72,40,472,CRITICAL,CRITICAL
Cultural,100,1000,21,0.22,38,437,CRITICAL,CRITICAL
Cultural,500,250,13,0.3,35,230,MEDIUM,MEDIUM
Cultural,200,250,4,0.77,42,92,CRITICAL,CRITICAL
Show,1500,1000,7,0.23,33,133,LOW,LOW
Cultural,2000,300,2,0.6,14,15,MEDIUM,MEDIUM
Sports,1500,750,4,0.89,17,34,CRITICAL,CRITICAL
Concert,1500,1500,30,0.12,47,868,MEDIUM,MEDIUM
Technology,2000,300,1,0.57,54,28,MEDIUM,MEDIUM
Show,200,2000,12,0.51,35,263,CRITICAL,CRITICAL
Workshop,100,750,25,0.95,23,343,CRITICAL,CRITICAL
Workshop,800,1500,16,0.35,20,184,LOW,LOW
Cultural,100,500,7,0.51,21,95,CRITICAL,CRITICAL
Cultural,100,250,14,0.64,43,351,CRITICAL,CRITICAL
Sports,500,1000,5,0.68,27,81,HIGH,HIGH
Show,1500,1500,9,0.57,8,42,MEDIUM,MEDIUM
Technology,2000,0,8,0.17,54,304,LOW,LOW
Cultural,200,250,1,0.21,52,30,LOW,LOW
Show,200,2000,10,0.81,13,92,CRITICAL,CRITICAL
Concert,500,1000,13,0.5,47,373,CRITICAL,CRITICAL
Cultural,200,250,30,0.84,39,717,CRITICAL,CRITICAL
